chart,Time,close,num,imacd,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.07.22 15:00:00,1.12174,344,-0.000468105,0.00012,,0,0
EURUSD,2019.07.22 14:00:00,1.12077,345,-0.00050608,0,,0.00011,1.00E-05
EURUSD,2019.07.22 13:00:00,1.12215,346,-0.000448426,7.00E-05,,0,0
EURUSD,2019.07.22 12:00:00,1.12164,347,-0.000508824,0,,0.00039,0.00024
EURUSD,2019.07.22 11:00:00,1.12168,348,-0.000526587,0,,0.00021,5.00E-05
EURUSD,2019.07.22 10:00:00,1.1219,349,-0.000545671,0,,0.00064,7.00E-05
EURUSD,2019.07.22 09:00:00,1.12225,350,-0.000584492,0.00063,,0,0
EURUSD,2019.07.22 08:00:00,1.1218,351,-0.000661177,0.00037,,0,0
EURUSD,2019.07.22 07:00:00,1.12174,352,-0.00070362,0,,0.00022,0.00029
EURUSD,2019.07.22 06:00:00,1.12175,353,-0.000741448,0.00024,,0,0
EURUSD,2019.07.22 05:00:00,1.12169,354,-0.000779965,1.00E-04,,0,0
EURUSD,2019.07.22 04:00:00,1.12139,355,-0.000811672,0.00041,,0,0
EURUSD,2019.07.22 03:00:00,1.12112,356,-0.00080979,0,,0.00012,0.00024
EURUSD,2019.07.22 02:00:00,1.12172,357,-0.000768118,0,,0.00032,1.00E-04
EURUSD,2019.07.22 01:00:00,1.12173,358,-0.000764848,0.00023,,0,0
EURUSD,2019.07.22 00:00:00,1.1217,359,-0.000750568,0,,0.00038,0
EURUSD,2019.07.19 23:00:00,1.12188,360,-0.000718369,0.00044,,0,0
EURUSD,2019.07.19 22:00:00,1.12182,361,-0.000685149,0,,0.00034,0.00029
EURUSD,2019.07.19 21:00:00,1.12185,362,-0.000626674,0,,0.00156,1.00E-04
EURUSD,2019.07.19 20:00:00,1.12238,363,-0.000545978,0,,0.00017,0.00012
EURUSD,2019.07.19 19:00:00,1.12281,364,-0.000489003,0.00056,,0,0
EURUSD,2019.07.19 18:00:00,1.122,365,-0.00045295,0,,0.00062,0.00033
EURUSD,2019.07.19 17:00:00,1.12212,366,-0.000317874,0,,0.00013,0.00049
EURUSD,2019.07.19 16:00:00,1.12337,367,-0.000153061,0.00039,,0,0
EURUSD,2019.07.19 15:00:00,1.12251,368,-6.77E-05,0,,0.00084,9.00E-05
EURUSD,2019.07.19 14:00:00,1.12317,369,0.000129695,0,,2.00E-05,1.00E-04
EURUSD,2019.07.19 13:00:00,1.12377,370,0.000312615,0,,0.00076,0.00042
EURUSD,2019.07.19 12:00:00,1.1238,371,0.00048045,0,,0.00025,0.00011
EURUSD,2019.07.19 11:00:00,1.12507,372,0.000684626,0,,8.00E-05,3.00E-05
EURUSD,2019.07.19 10:00:00,1.12642,373,0.000805961,0.00022,,0,0
EURUSD,2019.07.19 09:00:00,1.12583,374,0.000811651,0.00018,,0,0
EURUSD,2019.07.19 08:00:00,1.12562,375,0.000867181,0,,0.00019,0.00034
EURUSD,2019.07.19 07:00:00,1.1259,376,0.000946825,0,,0.00011,0.00011
EURUSD,2019.07.19 06:00:00,1.1262,377,0.001006198,0,,1.00E-04,7.00E-05
EURUSD,2019.07.19 05:00:00,1.12672,378,0.0010368,0.00017,,0,0
EURUSD,2019.07.19 04:00:00,1.12633,379,0.001007832,0.00017,,0,0
EURUSD,2019.07.19 03:00:00,1.12606,380,0.000995908,0.00022,,0,0
EURUSD,2019.07.19 02:00:00,1.12605,381,0.000993694,3.00E-05,,0,0
EURUSD,2019.07.19 01:00:00,1.12492,382,0.000977433,0,,0.00093,0.0005
EURUSD,2019.07.19 00:00:00,1.12766,383,0.001057515,0.00013,,0,0
EURUSD,2019.07.18 23:00:00,1.12752,384,0.000865365,0.00032,,0,0
EURUSD,2019.07.18 22:00:00,1.12748,385,0.000621779,0.00038,,0,0
EURUSD,2019.07.18 21:00:00,1.12678,386,0.000305903,0.0001,,0,0
EURUSD,2019.07.18 20:00:00,1.1234,387,-3.04E-05,0.0002,,0,0
EURUSD,2019.07.18 19:00:00,1.12237,388,-0.000115162,0,,0.00034,0.00013
EURUSD,2019.07.18 18:00:00,1.12268,389,-0.000116742,0.00028,,0,0
EURUSD,2019.07.18 17:00:00,1.12176,390,-0.000148624,0.00034,,0,0
EURUSD,2019.07.18 16:00:00,1.12162,391,-9.35E-05,0,,0.00036,0.00025
EURUSD,2019.07.18 15:00:00,1.12162,392,-7.49E-06,0,,0.00045,0.00058
EURUSD,2019.07.18 14:00:00,1.12191,393,0.000102381,0.00031,,0,0
EURUSD,2019.07.18 13:00:00,1.12126,394,0.000211598,0,,0.00078,0.00013
EURUSD,2019.07.18 12:00:00,1.12312,395,0.000414102,0,,0.00026,4.00E-05
EURUSD,2019.07.18 11:00:00,1.1239,396,0.000477166,0.00034,,0,0
EURUSD,2019.07.18 10:00:00,1.12386,397,0.0004713,0.00026,,0,0
EURUSD,2019.07.18 09:00:00,1.12372,398,0.00046103,0,,0.00039,0.00043
EURUSD,2019.07.18 08:00:00,1.12392,399,0.00045547,5.00E-05,,0,0
EURUSD,2019.07.18 07:00:00,1.12359,400,0.000421385,0,,2.00E-05,5.00E-05
EURUSD,2019.07.18 06:00:00,1.12389,401,0.000405352,0.00014,,0,0
EURUSD,2019.07.18 05:00:00,1.12385,402,0.000348445,9.00E-05,,0,0
EURUSD,2019.07.18 04:00:00,1.12333,403,0.000274817,0,,0.00011,0.0003
EURUSD,2019.07.18 03:00:00,1.12372,404,0.000229788,0.00018,,0,0
EURUSD,2019.07.18 02:00:00,1.12268,405,0.000129263,4.00E-05,,0,0
EURUSD,2019.07.18 01:00:00,1.12268,406,0.000104967,4.00E-05,,0,0
EURUSD,2019.07.18 00:00:00,1.12264,407,7.24E-05,0,,0,0
EURUSD,2019.07.17 23:00:00,1.12221,408,3.39E-05,0,,7.00E-05,0
EURUSD,2019.07.17 22:00:00,1.12245,409,2.81E-05,0.00036,,0,0
EURUSD,2019.07.17 21:00:00,1.12223,410,-4.27E-06,0,,0.00011,0.00043
EURUSD,2019.07.17 20:00:00,1.12264,411,-2.31E-05,0.0002,,0,0
EURUSD,2019.07.17 19:00:00,1.12241,412,-8.85E-05,0,,3.00E-05,0.00028
EURUSD,2019.07.17 18:00:00,1.12304,413,-0.000147255,0.00017,,0,0
EURUSD,2019.07.17 17:00:00,1.12248,414,-0.00028428,0.00056,,0,0
EURUSD,2019.07.17 16:00:00,1.12201,415,-0.00039802,2.00E-05,,0,0
EURUSD,2019.07.17 15:00:00,1.12111,416,-0.00048955,0,,0.00019,8.00E-05
EURUSD,2019.07.17 14:00:00,1.12171,417,-0.000507618,0,,9.00E-05,0.00036
EURUSD,2019.07.17 13:00:00,1.1218,418,-0.000584388,0.00043,,0,0
EURUSD,2019.07.17 12:00:00,1.12164,419,-0.000683037,2.00E-05,,0,0
EURUSD,2019.07.17 11:00:00,1.121,420,-0.000782723,4.00E-05,,0,0
EURUSD,2019.07.17 10:00:00,1.12066,421,-0.00083341,2.00E-05,,0,0
EURUSD,2019.07.17 09:00:00,1.1202,422,-0.000851364,0,,0.00028,0
EURUSD,2019.07.17 08:00:00,1.12155,423,-0.000815061,0.00013,,0,0
EURUSD,2019.07.17 07:00:00,1.12151,424,-0.000894323,7.00E-05,,0,0
EURUSD,2019.07.17 06:00:00,1.1213,425,-0.00097841,0.00024,,0,0
EURUSD,2019.07.17 05:00:00,1.12118,426,-0.001050123,0,,0.00046,0.00014
EURUSD,2019.07.17 04:00:00,1.12122,427,-0.001114161,0.00011,,0,0
EURUSD,2019.07.17 03:00:00,1.1211,428,-0.001183764,0,,0.00047,4.00E-05
EURUSD,2019.07.17 02:00:00,1.12112,429,-0.001243166,5.00E-05,,0,0
